RandomID,Respondent ID,Progress,Duration (in seconds),Q1_Consent,Q2_PurchaseRecent,Q3_DecisionRole,Q4_PurchaseFreq,Q5_UsualChannel,Q5_UsualChannel_5_TEXT,Q6_BrandsBought,Q6_BrandsBought_9_TEXT,Q7_BrandMostOften,Q8_AttrImportance_1,Q8_AttrImportance_2,Q8_AttrImportance_3,Q8_AttrImportance_4,Q8_AttrImportance_5,Q8_AttrImportance_6,Q8_AttrImportance_7,Q8h_QualityCheck_Trap1,Q9_Tradeoff,Q10_ActiveSeeking,Q11_Appeal,Q12_PurchaseIntent,Q13_Replacement,Q13A_WhatReplaced,Q14_InterestComparison,Q15_AttentionCheck_1,Q16_PurchaseLocation,Q17a_Price399,Q17b_Price499,Q17c_Price599,Q17d_Price699,Q17e_Price799,Q18_PriceTooExpensive,Q19_ClubStore4Pack,Q20_OnlineDelivery,Q21_DietFocus,Q22_HouseholdType,Q23_Age,Q24_Income,ClaimCell,ConceptLabel
5160,R132,100,120,1,1,1,2,1,,"1,2,6",,6,4,5,5,4,5,4,5,1,1,1,4,3,1,1,2,4,1,4,4,4,4,4,2.99,4,4,3,2,3,6,2,with low or zero added sugar
5491,R133,100,132,1,1,1,2,1,,"3,4,6",,3,4,3,4,5,4,4,5,1,2,1,1,4,2,4,4,4,2,4,4,4,4,4,6.99,4,4,3,2,2,3,2,with low or zero added sugar
3565,R134,100,246,1,1,2,2,1,,"5,6",,6,5,4,5,3,3,5,3,1,3,3,3,4,2,3,3,4,1,3,2,3,4,2,6,4,5,3,3,3,4,1,with higher protein
4091,R135,100,130,1,1,1,1,3,,"1,2,3,4,5",,4,4,5,4,3,4,5,4,1,1,3,4,4,2,4,4,4,2,5,4,4,4,4,6.99,4,4,3,5,3,5,2,with low or zero added sugar
8442,R136,100,82,1,1,2,1,2,,"1,3,5,6",,6,5,3,2,2,3,4,2,1,3,3,3,3,3,,3,4,3,3,3,3,2,2,5,3,4,3,3,3,2,3,with higher protein and low or zero added sugar
9916,R137,100,90,1,1,1,2,2,,"1,5,6",,6,2,5,3,4,4,4,4,1,2,2,2,3,2,3,2,4,2,3,4,4,3,3,8,3,3,2,3,4,3,3,with higher protein and low or zero added sugar
6452,R138,100,108,1,1,2,2,2,,"3,5,6",,1,3,2,3,4,5,4,3,1,1,2,4,5,3,,4,4,2,4,5,4,4,5,6.77,4,4,2,1,2,4,1,with higher protein
1841,R139,100,107,1,1,1,1,1,,"2,6",,2,4,5,5,5,5,4,5,1,1,1,4,3,1,1,4,4,1,3,4,4,4,4,3.99,4,4,3,2,3,6,2,with low or zero added sugar
8960,R140,100,131,1,1,1,2,2,,"2,4,5",,4,3,4,5,5,2,4,4,1,2,1,3,4,2,1,4,4,3,4,4,5,4,4,6,4,4,3,3,2,2,2,with low or zero added sugar
3467,R141,100,198,1,1,1,1,1,,4,,6,3,4,5,4,4,4,4,1,1,2,3,2,1,3,2,4,1,3,4,2,3,4,5,4,3,2,2,2,4,2,with low or zero added sugar
5627,R142,100,134,1,1,1,1,1,,"1,5",,1,4,5,5,4,5,5,4,1,1,1,4,4,1,1,4,4,1,5,4,4,4,4,7.99,4,4,1,3,3,6,1,with higher protein
7510,R143,100,143,1,1,2,2,3,,"1,2,6",,4,3,4,4,4,3,3,4,1,3,2,3,3,2,2,3,4,3,4,4,4,4,4,6,4,4,3,4,3,5,2,with low or zero added sugar
8167,R144,100,218,1,1,1,1,3,,"1,2,3,5",,5,4,5,4,5,5,4,3,1,1,1,4,4,2,1,4,4,1,4,5,4,4,4,8.99,4,4,1,3,3,5,2,with low or zero added sugar
3929,R146,100,324,1,1,2,2,3,,"1,2,3,4,5,6,7,8",,8,4,4,5,4,4,5,5,1,2,3,5,5,3,,3,4,3,4,5,5,4,4,7.61,4,5,3,4,5,5,1,with higher protein
7918,R147,100,332,1,1,2,4,4,,"1,2,3,4,5,6,7,8",,3,5,4,3,4,3,3,4,1,2,3,3,4,2,5,3,4,2,5,4,5,4,5,8.5,4,5,3,4,4,6,3,with higher protein and low or zero added sugar
6494,R152,100,99,1,1,1,1,1,,"2,3",,3,5,5,5,5,4,4,4,1,1,1,4,4,1,2,5,4,1,5,5,4,4,3,10,4,4,3,3,3,2,1,with higher protein
3883,R154,100,193,1,1,1,2,1,,"2,3,4,6",,6,5,4,5,4,4,5,3,1,2,1,4,3,2,3,4,4,1,4,3,4,4,3,6.99,4,4,1,3,3,3,1,with higher protein
2535,R155,100,208,1,1,1,1,1,,"1,4,5,6,8",,6,5,4,5,3,5,5,5,1,1,2,4,4,2,4,4,4,2,5,4,4,5,4,8,4,4,3,4,3,4,3,with higher protein and low or zero added sugar
1364,R156,100,162,1,1,1,1,1,,"5,7",,4,5,4,5,5,4,4,5,1,1,1,4,4,1,1,4,4,1,4,4,4,4,4,3.99,4,4,1,3,2,6,3,with higher protein and low or zero added sugar
3820,R157,100,98,1,1,1,1,1,,2,,2,5,5,5,5,5,4,5,1,2,2,4,4,2,2,4,4,1,5,4,4,4,3,9,4,5,3,3,3,2,1,with higher protein
8177,R158,100,298,1,1,2,4,3,,"1,2,3,4,5,6,7,8",,1,4,4,3,3,3,4,5,1,2,3,5,4,2,5,4,4,3,5,4,4,4,4,5.6,5,4,2,4,5,6,1,with higher protein
4931,R159,100,134,1,1,1,1,1,,"4,7",,4,5,5,4,4,4,4,5,1,2,1,2,1,1,1,2,4,1,4,4,1,4,4,7.99,4,4,1,3,2,6,3,with higher protein and low or zero added sugar
2988,R160,100,136,1,1,1,2,1,,"1,4,6",,1,4,3,5,5,4,5,4,1,1,2,4,4,2,2,4,4,1,4,4,4,4,4,5.99,4,4,3,4,3,4,1,with higher protein
2578,R161,100,298,1,1,1,3,3,,"1,2,3,4,5,6,7,8",,4,5,4,4,4,5,3,4,1,2,3,3,4,2,5,3,4,2,5,4,5,5,5,5.81,4,5,2,5,5,5,2,with low or zero added sugar
8096,R162,100,307,1,1,1,4,3,,"1,2,3,4,5,6,7,8",,2,3,3,5,5,3,3,4,1,2,3,4,4,2,5,5,4,3,5,4,5,4,4,9.56,5,5,3,4,5,5,2,with low or zero added sugar
3745,R165,100,126,1,1,1,2,1,,"1,2",,1,4,4,4,3,3,3,3,1,3,4,3,3,2,1,3,4,2,5,4,4,3,3,9.99,4,4,3,3,2,4,1,with higher protein
5711,R166,100,298,1,1,1,2,4,,"1,2,3,4,5,6,7,8",,1,4,5,5,4,5,5,5,1,2,2,4,4,2,5,4,4,2,4,5,4,5,4,5.18,5,5,3,5,4,6,3,with higher protein and low or zero added sugar
7388,R167,100,307,1,1,1,4,4,,"1,2,3,4,5,6,7,8",,1,3,5,5,4,5,4,3,1,2,2,5,4,2,5,4,4,2,5,4,5,5,5,7.36,4,4,2,5,4,5,2,with low or zero added sugar
1302,R168,100,307,1,1,2,3,4,,"1,2,3,4,5,6,7,8",,4,5,3,5,4,4,3,3,1,2,3,3,4,2,5,4,4,2,5,4,4,5,5,5.72,4,4,2,5,5,6,1,with higher protein
9615,R171,100,126,1,1,1,2,1,,1,,1,4,5,5,5,4,5,4,1,2,1,4,3,1,3,4,4,1,4,4,3,3,3,4.99,4,4,1,3,5,2,2,with low or zero added sugar
2802,R172,100,289,1,1,1,4,3,,"1,2,3,4,5,6,7,8",,6,4,3,4,4,3,5,4,1,2,2,3,4,3,,3,4,2,4,5,4,5,5,9.86,5,5,3,4,4,6,3,with higher protein and low or zero added sugar
5096,R173,100,162,1,1,2,1,2,,1,,4,5,4,4,5,4,4,5,1,4,1,2,3,1,5,2,4,1,4,3,4,4,4,8.3,3,4,3,2,3,4,1,with higher protein
4718,R174,100,116,1,1,1,1,1,,"6,7",,6,4,2,5,5,3,4,3,1,2,2,3,4,2,4,3,4,1,5,4,5,4,5,10,3,4,3,3,2,4,3,with higher protein and low or zero added sugar
1834,R175,100,107,1,1,1,4,1,,1,,1,1,2,2,2,3,5,3,1,1,1,4,4,2,2,4,4,2,4,1,1,1,1,3,4,4,3,2,3,4,2,with low or zero added sugar
5386,R177,100,253,1,1,2,2,2,,"2,3,4",,3,3,4,2,3,2,3,3,1,2,2,3,3,2,3,3,4,2,4,4,4,3,4,8,3,3,2,3,4,4,2,with low or zero added sugar
2366,R178,100,169,1,1,2,2,2,,"3,5",,5,3,4,3,4,3,4,3,1,2,2,2,3,2,2,3,4,2,4,3,4,4,3,5.55,3,3,3,3,3,4,2,with low or zero added sugar
4385,R179,100,146,1,1,1,1,1,,"1,4,5",,4,5,4,5,4,5,4,5,1,1,1,5,4,1,3,5,4,1,5,5,4,4,5,5.56,5,5,1,3,2,4,1,with higher protein
6968,R180,100,106,1,1,1,2,2,,3,,4,5,4,4,3,4,5,4,1,2,2,2,3,2,3,2,4,2,3,4,2,3,2,6,3,3,3,3,4,4,2,with low or zero added sugar
8259,R181,100,130,1,1,1,2,1,,"3,4",,7,5,4,5,4,5,4,5,1,2,1,3,1,2,2,2,4,3,4,4,4,4,4,7.99,2,3,4,3,2,6,3,with higher protein and low or zero added sugar
6150,R182,100,289,1,1,1,2,4,,"1,2,3,4,5,6,7,8",,6,3,5,3,5,4,3,3,1,2,3,4,4,3,,4,4,3,4,4,4,5,5,6.38,4,5,3,4,4,6,3,with higher protein and low or zero added sugar
3132,R183,100,113,1,1,2,2,3,,"4,5,7",,3,3,4,4,4,4,5,4,1,2,3,3,3,2,4,4,4,2,4,4,4,4,4,6,3,4,3,4,3,5,3,with higher protein and low or zero added sugar
4919,R184,100,119,1,1,1,1,2,,"1,3,8",,6,5,4,5,4,5,4,5,1,2,1,2,3,3,,4,4,1,3,4,4,3,4,7.99,3,4,3,2,2,6,1,with higher protein
5056,R185,100,120,1,1,1,2,3,,4,,2,5,4,4,5,4,4,5,1,3,2,1,3,2,2,3,4,2,4,4,4,4,4,2,3,4,3,3,3,3,2,with low or zero added sugar
8972,R186,100,139,1,1,1,2,2,,1,,1,2,3,4,5,3,4,4,1,2,1,4,3,2,4,4,4,1,1,1,1,1,1,2,4,4,3,3,3,5,3,with higher protein and low or zero added sugar
1630,R187,100,298,1,1,1,3,4,,"1,2,3,4,5,6,7,8",,7,4,3,4,5,5,3,5,1,2,2,5,4,2,5,5,4,2,5,5,4,4,4,5.06,5,4,3,5,5,5,1,with higher protein
5325,R189,100,192,1,1,1,1,1,,6,,4,4,3,5,4,5,4,5,1,1,2,1,2,2,2,4,4,1,4,4,5,3,4,5,3,4,3,3,2,5,1,with higher protein
1860,R190,100,91,1,1,2,2,3,,"1,6",,2,3,5,4,4,4,4,4,1,2,2,2,3,2,3,3,4,2,3,3,4,4,3,8,3,3,3,3,4,3,1,with higher protein
1499,R191,100,86,1,1,2,2,3,,"1,2,6",,1,4,4,5,5,5,4,4,1,3,3,4,4,3,,3,4,3,4,4,4,4,4,6,4,4,3,3,3,5,1,with higher protein
2636,R192,100,207,1,1,1,2,2,,"3,4,5",,2,3,4,3,4,3,4,3,1,2,2,3,2,2,3,2,4,2,3,3,3,4,4,3.99,3,4,2,3,3,3,1,with higher protein
6625,R193,100,109,1,1,2,3,2,,2,,2,5,4,4,5,4,5,4,1,2,2,2,3,3,,2,4,2,3,3,2,3,3,6,4,4,3,,1,2,2,with low or zero added sugar
2964,R194,100,133,1,1,2,2,2,,"2,4,6",,2,3,3,5,4,3,2,4,1,2,2,3,3,2,3,3,4,2,4,4,4,4,3,8,3,3,2,4,4,4,1,with higher protein
2555,R195,100,6050,1,1,1,1,1,,"2,4,6",,2,5,4,5,3,5,4,3,1,1,2,4,4,2,3,5,4,1,3,5,4,4,3,7,4,4,2,3,2,5,1,with higher protein
4943,R196,100,337524,1,1,1,3,1,,"7,9",My mochi,7,4,5,3,1,1,1,1,1,4,3,2,2,2,3,3,4,1,4,4,2,3,1,7.5,2,1,4,5,2,3,1,with higher protein
